Date,Open,High,Low,Close,Adj Close,Volume
2000-06-23,11.428570747375488,11.428570747375488,10.0,10.0,8.014017105102539,7938
2000-06-26,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,49
2000-06-27,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,245
2000-06-28,11.428570747375488,14.285714149475098,11.428570747375488,14.285714149475098,11.44859504699707,2009
2000-06-29,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,980
2000-06-30,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,0
2000-07-03,11.428570747375488,11.428570747375488,10.0,10.0,8.014017105102539,2695
2000-07-04,10.0,10.0,10.0,10.0,8.014017105102539,5488
2000-07-05,11.428570747375488,11.428570747375488,10.0,10.0,8.014017105102539,980
2000-07-06,10.0,10.0,10.0,10.0,8.014017105102539,0
2000-07-07,10.0,10.0,10.0,10.0,8.014017105102539,0
2000-07-10,10.0,10.0,10.0,10.0,8.014017105102539,0
2000-07-11,8.571428298950195,8.571428298950195,8.571428298950195,8.571428298950195,6.869157791137695,3920
2000-07-12,8.571428298950195,8.571428298950195,8.571428298950195,8.571428298950195,6.869157791137695,735
2000-07-13,8.571428298950195,8.571428298950195,8.571428298950195,8.571428298950195,6.869157791137695,833
2000-07-14,8.571428298950195,8.571428298950195,5.714284896850586,5.714284896850586,4.57943868637085,8771
2000-07-17,7.142857074737549,7.142857074737549,7.142857074737549,7.142857074737549,5.724297523498535,490
2000-07-18,7.142857074737549,7.142857074737549,7.142857074737549,7.142857074737549,5.724297523498535,0
2000-07-19,7.142857074737549,7.142857074737549,7.142857074737549,7.142857074737549,5.724297523498535,0
2000-07-20,10.0,10.0,10.0,10.0,8.014017105102539,245
2000-07-21,10.0,10.0,10.0,10.0,8.014017105102539,0
2000-07-24,10.0,10.0,10.0,10.0,8.014017105102539,0
2000-07-25,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,49
2000-07-26,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,0
2000-07-27,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,0
2000-07-28,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,0
2000-07-31,12.857142448425293,12.857142448425293,12.857142448425293,12.857142448425293,10.303736686706543,0
2000-08-01,18.571428298950195,18.571428298950195,18.571428298950195,18.571428298950195,14.883176803588867,784
2000-08-02,18.571428298950195,18.571428298950195,18.571428298950195,18.571428298950195,14.883176803588867,98
2000-08-03,18.571428298950195,18.571428298950195,18.571428298950195,18.571428298950195,14.883176803588867,98
2000-08-04,18.571428298950195,18.571428298950195,18.571428298950195,18.571428298950195,14.883176803588867,735
2000-08-07,14.285714149475098,14.285714149475098,14.285714149475098,14.285714149475098,11.44859504699707,98
2000-08-08,14.285714149475098,14.285714149475098,14.285714149475098,14.285714149475098,11.44859504699707,0
2000-08-09,17.14285659790039,17.14285659790039,17.14285659790039,17.14285659790039,13.73831558227539,24
2000-08-10,20.0,20.0,20.0,20.0,16.028034210205078,2
